simulation_id,claim_count,annual_loss
38,0,0.0
43,0,0.0
55,0,0.0
66,0,0.0
76,0,0.0
95,0,0.0
96,1,1949.0041296192405
98,0,0.0
109,0,0.0
127,0,0.0
136,0,0.0
139,0,0.0
147,0,0.0
170,0,0.0
171,0,0.0
179,0,0.0
185,0,0.0
189,0,0.0
190,0,0.0
191,0,0.0
196,0,0.0
211,0,0.0
220,0,0.0
221,0,0.0
234,0,0.0
236,0,0.0
241,0,0.0
246,0,0.0
247,0,0.0
252,0,0.0
269,0,0.0
280,0,0.0
281,0,0.0
302,0,0.0
304,0,0.0
310,0,0.0
317,1,471.80385319133046
321,1,113.37279372909026
340,0,0.0
350,0,0.0
352,0,0.0
359,0,0.0
383,0,0.0
385,1,1136.6232519314613
412,0,0.0
415,0,0.0
418,0,0.0
439,0,0.0
462,1,545.2547559391286
469,0,0.0
487,0,0.0
501,0,0.0
505,0,0.0
506,0,0.0
511,0,0.0
513,0,0.0
535,0,0.0
553,0,0.0
555,0,0.0
559,0,0.0
572,0,0.0
584,0,0.0
594,0,0.0
598,0,0.0
600,0,0.0
601,0,0.0
678,0,0.0
680,0,0.0
683,0,0.0
688,0,0.0
702,0,0.0
703,0,0.0
704,0,0.0
706,0,0.0
714,0,0.0
715,1,1458.044784341181
719,0,0.0
729,0,0.0
731,0,0.0
737,0,0.0
742,0,0.0
755,0,0.0
762,0,0.0
770,0,0.0
774,0,0.0
779,0,0.0
784,0,0.0
795,0,0.0
803,0,0.0
812,0,0.0
830,0,0.0
836,3,2229.6727553358633
846,0,0.0
849,0,0.0
853,0,0.0
859,0,0.0
891,0,0.0
896,0,0.0
897,0,0.0
907,1,227.09418162790172
915,0,0.0
918,0,0.0
923,1,6035.02584708805
928,0,0.0
935,0,0.0
941,0,0.0
979,0,0.0
980,0,0.0
990,0,0.0
993,0,0.0
995,0,0.0
1003,0,0.0
1015,0,0.0
1022,0,0.0
1056,0,0.0
1063,0,0.0
1064,0,0.0
1073,0,0.0
1076,0,0.0
1124,0,0.0
1127,0,0.0
1133,0,0.0
1137,0,0.0
1161,0,0.0
1165,0,0.0
1170,1,1083.438045258721
1200,0,0.0
1203,0,0.0
1204,0,0.0
1221,0,0.0
1231,0,0.0
1255,0,0.0
1257,0,0.0
1284,0,0.0
1295,0,0.0
1296,0,0.0
1318,0,0.0
1322,0,0.0
1331,1,988.8024942986563
1332,0,0.0
1333,0,0.0
1346,0,0.0
1349,0,0.0
1356,0,0.0
1358,0,0.0
1360,0,0.0
1361,0,0.0
1396,0,0.0
1400,0,0.0
1405,0,0.0
1419,0,0.0
1426,0,0.0
1444,0,0.0
1472,0,0.0
1480,0,0.0
1488,0,0.0
1495,0,0.0
1508,0,0.0
1512,0,0.0
1514,0,0.0
1517,1,361.4402403581743
1519,0,0.0
1536,0,0.0
1559,0,0.0
1575,0,0.0
1598,1,4204.472775112051
1602,0,0.0
1604,0,0.0
1607,0,0.0
1623,0,0.0
1626,0,0.0
1627,0,0.0
1629,0,0.0
1634,0,0.0
1653,0,0.0
1655,0,0.0
1660,0,0.0
1661,0,0.0
1662,0,0.0
1666,0,0.0
1672,0,0.0
1692,0,0.0
1712,0,0.0
1734,0,0.0
1735,0,0.0
1736,0,0.0
1740,0,0.0
1771,0,0.0
1778,0,0.0
1789,1,588.5640457974063
1791,0,0.0
1797,0,0.0
1799,0,0.0
1805,0,0.0
1808,0,0.0
1818,0,0.0
1834,0,0.0
1846,0,0.0
1861,0,0.0
1877,0,0.0
1878,0,0.0
1883,0,0.0
1892,0,0.0
1894,0,0.0
1897,0,0.0
1904,0,0.0
1913,0,0.0
1915,0,0.0
1931,0,0.0
1938,0,0.0
1939,1,1280.6392888596024
1944,0,0.0
1950,0,0.0
1976,0,0.0
1984,0,0.0
1985,0,0.0
1988,0,0.0
2007,0,0.0
2011,0,0.0
2013,0,0.0
2028,0,0.0
2029,0,0.0
2030,0,0.0
2031,0,0.0
2035,0,0.0
2062,0,0.0
2067,0,0.0
2075,0,0.0
2076,0,0.0
2083,0,0.0
2096,0,0.0
2103,0,0.0
2113,0,0.0
2118,0,0.0
2145,0,0.0
2151,0,0.0
2153,0,0.0
2169,1,214.52898821967682
2200,0,0.0
2208,0,0.0
2225,0,0.0
2249,0,0.0
2258,0,0.0
2265,0,0.0
2266,0,0.0
2273,0,0.0
2285,0,0.0
2289,0,0.0
2298,0,0.0
2301,0,0.0
2311,0,0.0
2313,0,0.0
2317,0,0.0
2334,0,0.0
2338,0,0.0
2342,0,0.0
2344,0,0.0
2363,0,0.0
2389,0,0.0
2394,0,0.0
2396,0,0.0
2409,0,0.0
2421,0,0.0
2423,0,0.0
2453,0,0.0
2465,0,0.0
2474,0,0.0
2491,0,0.0
2500,0,0.0
2503,0,0.0
2526,0,0.0
2536,0,0.0
2539,0,0.0
2551,0,0.0
2574,0,0.0
2586,0,0.0
2587,0,0.0
2593,0,0.0
2621,0,0.0
2622,1,505.7152583180805
2623,0,0.0
2624,0,0.0
2633,1,384.14834212328634
2642,0,0.0
2644,0,0.0
2661,0,0.0
2678,0,0.0
2697,0,0.0
2707,0,0.0
2709,0,0.0
2722,0,0.0
2724,0,0.0
2731,0,0.0
2742,0,0.0
2745,0,0.0
2757,0,0.0
2773,0,0.0
2805,0,0.0
2811,0,0.0
2831,0,0.0
2834,0,0.0
2845,0,0.0
2846,0,0.0
2864,0,0.0
2874,0,0.0
2942,0,0.0
2960,1,1630.025184949671
2970,0,0.0
2999,0,0.0
3024,0,0.0
3028,0,0.0
3033,0,0.0
3039,0,0.0
3057,0,0.0
3061,0,0.0
3081,0,0.0
3083,0,0.0
3089,0,0.0
3091,0,0.0
3093,0,0.0
3096,0,0.0
3101,0,0.0
3120,0,0.0
3135,0,0.0
3139,0,0.0
3141,0,0.0
3145,0,0.0
3160,0,0.0
3161,0,0.0
3176,0,0.0
3190,0,0.0
3213,0,0.0
3219,0,0.0
3226,0,0.0
3231,0,0.0
3236,0,0.0
3256,0,0.0
3267,0,0.0
3275,0,0.0
3278,0,0.0
3288,0,0.0
3290,0,0.0
3291,1,239.7536393764414
3294,0,0.0
3300,0,0.0
3301,0,0.0
3303,0,0.0
3319,0,0.0
3324,0,0.0
3337,0,0.0
3357,0,0.0
3361,0,0.0
3368,0,0.0
3369,1,243.3590556652782
